No,Kalimat
1,Kemunculan virus corona mngakibatykan sejumlah besar daerah di dunia termasuk Indonesia mengalami dampak akibat dari kganasn virus corona.
2,"Proses perbaikan kesalahan ejaan terbag menjadi tiga tahapan yakni detection errors, candidates generation dan ranking candidates."
3,Permasalahan kesalahan ejaan dapatt terataasi dengan memperhatikan unit tekrecil dari suku kata (subword) di mana bagian terkecil dari subword adalah karakter.
4,"Sehingga, kita kehilangan informasi mengenai posisi sebuah objek relatif terhadap obejk lainnya yang mana hal ini sebenarnya sangat penting untuk membuat mesin yang memahami dunia secara 3 dimensi."
5,Deep neural networks memang agnostik secara bahasa namun yang menjadi kendala ialah membutuhkan dattaa yang banyak.
6,"Sementara itu, data yang diperlukan untuk melatih model deep neural network harus berlabel."
7,Proses melabeli data adalah proses yang rumit karena harus membutuhkan banyak orang untuk memperoleh label yang teruji.
8,struktur data trie dan precomputed edit distance mampu meningkatkan efiensi waktu proses.
9,"maka dari itu pada subbab selanjutnya, penulis akan memaparkan dataset yang tersedia dari bebeerapa bahasa."
10,"Perangkat komputer, telpon cerdas dan perangkat teknologi sejenis sering digunakan untuk membuat teks, baik itu berupa pesan singkat, kata kunci di mesin pencari atau dokumenn."
11,Tujuam dari penulisan ini ialah diharapkan tulisan ini dapat menjadi acuan dari penulis yang tertarik dengan topik spelling correction.
12,"Semnetara itu, semakin besarnya data yang terdapat pada database maka akan memerlukan sumber dayaa komputasi yang tinggi pula sehingga diperlukan spelling correction secara otomatis."
13,Mereka mempaarkna bahwa XLNET yang merupakan generalisasi autoregresif model dan autoencoding model mampu mengungguli BERT yang sebelumnya menjadi pendakatan model bahasa terbaik dalam 20 task.
14,"XLNet memanfaatkan kelebihan dari dua metode pretrain yang ada, yakni autoregresif yang dapat diartikan sebagai model prediksi berdasarkan kata-kata sebelumnya (seperti transformer-XL) dan autoencoding yang mampu mengakses seluruh word dalam waktu berdamaam."
15,Model berjalan dengan melakukan permutasi dari setiap kemunggkinan susunan yang ada.
16,"Secara umum, XLNet dan BERT memilliki karaktersitik komputasi yang mirip"
17,"Berdasarkan penlitian yang ada, kesimpulan yang diperoleh ialah walaupun XLNet memiliki akurasi yang lebih baik namun waktu yang diperluukan lebih baynak dari BERT."
18,Pipalia dkk. pada tahun 2020 membandingkan beberapa arsitektur untuk memperoleh rsitektur transformer-based mana yang terbaik pada task analisis sentimen.
19,"Penelitian yang ada melakukan fine tune dengan memperimbankan dataset yang sedikit, fine tune juga dilakukan untuk menghindari overfitting."
20,Pada propoosal ini pendekatan lexicon-based dijadikan opsi untuk mempetoleh data.
