token,tag,label,correction
Kemunculan,NOUN,0,_
virus,X,0,_
corona,X,0,_
mngakibatykan,X,1,mengakibatkan
sejumlah,DET,0,_
besar,ADJ,0,_
daerah,NOUN,0,_
di,ADP,0,_
dunia,NOUN,0,_
termasuk,VERB,0,_
Indonesia,PROPN,0,_
mengalami,VERB,0,_
dampak,NOUN,0,_
akibat,ADP,0,_
dari,ADP,0,_
kganasn,X,1,keganasan
virus,X,0,_
corona,X,0,_
.,PUNCT,0,_
Proses,NOUN,0,_
perbaikan,X,0,_
kesalahan,NOUN,0,_
ejaan,X,0,_
terbag,X,1,terbagi
menjadi,VERB,0,_
tiga,NUM,0,_
tahapan,NOUN,0,_
yakni,AUX,0,_
detection,X,0,_
errors,X,0,_
",",PUNCT,0,_
candidates,X,0,_
generation,X,0,_
dan,CCONJ,0,_
ranking,X,0,_
candidates,X,0,_
.,PUNCT,0,_
Permasalahan,NOUN,0,_
kesalahan,NOUN,0,_
ejaan,X,0,_
dapatt,X,1,dapat
terataasi,X,1,teratasi
dengan,ADP,0,_
memperhatikan,VERB,0,_
unit,NOUN,0,_
tekrecil,X,1,terkecil
dari,ADP,0,_
suku,NOUN,0,_
kata,NOUN,0,_
(,PUNCT,0,_
subword,X,0,_
),PUNCT,0,_
di,ADP,0,_
mana,NOUN,0,_
bagian,NOUN,0,_
terkecil,ADJ,0,_
dari,ADP,0,_
subword,X,0,_
adalah,AUX,0,_
karakter,NOUN,0,_
.,PUNCT,0,_
Sehingga,SCONJ,0,_
",",PUNCT,0,_
kita,PRON,0,_
kehilangan,NOUN,0,_
informasi,NOUN,0,_
mengenai,VERB,0,_
posisi,NOUN,0,_
sebuah,DET,0,_
objek,NOUN,0,_
relatif,ADJ,0,_
terhadap,ADP,0,_
obejk,X,1,objek
lainnya,_,0,_
yang,SCONJ,0,_
mana,NOUN,0,_
hal,NOUN,0,_
ini,DET,0,_
sebenarnya,ADV,0,_
sangat,ADV,0,_
penting,ADJ,0,_
untuk,SCONJ,0,_
membuat,VERB,0,_
mesin,NOUN,0,_
yang,SCONJ,0,_
memahami,VERB,0,_
dunia,NOUN,0,_
secara,ADP,0,_
3,NUM,0,_
dimensi,NOUN,0,_
.,PUNCT,0,_
Deep,PROPN,0,_
neural,X,0,_
networks,X,0,_
memang,ADV,0,_
agnostik,X,0,_
secara,ADP,0,_
bahasa,NOUN,0,_
namun,CCONJ,0,_
yang,SCONJ,0,_
menjadi,VERB,0,_
kendala,NOUN,0,_
ialah,AUX,0,_
membutuhkan,VERB,0,_
dattaa,X,1,data
yang,SCONJ,0,_
banyak,DET,0,_
.,PUNCT,0,_
Sementara,SCONJ,0,_
itu,DET,0,_
",",PUNCT,0,_
data,NOUN,0,_
yang,SCONJ,0,_
diperlukan,VERB,0,_
untuk,SCONJ,0,_
melatih,VERB,0,_
model,NOUN,0,_
deep,X,0,_
neural,X,0,_
network,X,0,_
harus,AUX,0,_
